CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A027,28 ST,00:00:00,11729885.82857143,10511108.16,144.72,46.44571428571429,191.16571428571427
R133,28 ST,00:00:00,22161131.3,7386365.7,151.46666666666667,33.0,184.46666666666667
R134,28 ST,00:00:00,12735489.0,152662540.76666668,37.96666666666667,41.06666666666667,79.03333333333333
R230,28 ST,00:00:00,12837475.1,5856606.1,0.0,0.03333333333333333,0.03333333333333333
R229,28 ST,00:00:00,24613244.4,19212398.966666665,262.7,73.36666666666666,336.06666666666666
R228,28 ST,00:00:00,1477531881.4666667,1906792688.5666666,119.3,84.13333333333334,203.43333333333334
A029,28 ST,00:00:00,18940303.49714286,28350889.257142857,115.68571428571428,59.15428571428571,174.84
R133,28 ST,01:00:00,21919266.668571427,7127058.08,80.32571428571428,20.8,101.12571428571428
R230,28 ST,01:00:00,12840009.445714286,5919145.022857143,0.17714285714285713,0.6057142857142858,0.7828571428571428
R134,28 ST,01:00:00,12964844.114285715,152954004.49142858,28.217142857142857,47.78857142857143,76.00571428571429
R229,28 ST,01:00:00,21674054.46551724,14094103.994252874,147.183908045977,69.12068965517241,216.30459770114942
R228,28 ST,01:00:00,1485974770.2457142,1901691351.5142858,49.817142857142855,88.33142857142857,138.14857142857142
A029,28 ST,03:00:00,18641595.166666668,27933152.2,42.3,294.4,336.7
A027,28 ST,03:00:00,11345018.266666668,10184734.2,66.8,205.73333333333332,272.53333333333336
R134,28 ST,04:00:00,12735526.966666667,152662581.83333334,137.43333333333334,593.6,731.0333333333333
R229,28 ST,04:00:00,24613507.1,19212472.333333332,732.8666666666667,875.1,1607.9666666666667
R230,28 ST,04:00:00,12837475.1,5856606.133333334,16.3,237.43333333333334,253.73333333333332
R133,28 ST,04:00:00,22161282.766666666,7386398.7,253.63333333333333,251.76666666666668,505.4
A027,28 ST,04:00:00,11730030.548571428,10511154.605714286,193.2,452.9428571428571,646.1428571428571
