CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A046,CANAL ST,05:00:00,2174281445.477612,665790909.3134328,460.910447761194,1124.9701492537313,1585.8805970149253
N090,CANAL ST,07:00:00,14874918.6,22416025.866666667,162.86666666666667,487.6666666666667,650.5333333333333
N089,CANAL ST,07:00:00,939446071.0,574965477.6666666,406.93333333333334,922.4,1329.3333333333333
N089,CANAL ST,07:52:46,940373131.0,575671634.0,8.0,5.0,13.0
A046,CANAL ST,07:59:09,2167340153.0,659414633.0,307.0,986.0,1293.0
N090,CANAL ST,08:00:00,15105971.149253732,22643892.52238806,224.01492537313433,610.776119402985,834.7910447761194
A046,CANAL ST,08:00:00,2173573573.5333333,665909670.1333333,1715.4666666666667,4007.6666666666665,5723.133333333333
R120,CANAL ST,08:00:00,2601019.466666667,11489320.666666666,58.13333333333333,380.1333333333333,438.26666666666665
R119,CANAL ST,08:00:00,16774015.6,5787214.733333333,162.26666666666668,95.26666666666667,257.53333333333336
A043,CANAL ST,08:00:00,768462339.1333333,926494084.0666667,745.1333333333333,2728.4,3473.5333333333333
A066,CANAL ST,08:00:00,1391203076.5333333,2535751327.266667,536.6,921.1333333333333,1457.7333333333333
N089,CANAL ST,08:00:00,939940938.7462686,575372953.2686567,615.6567164179105,1243.686567164179,1859.3432835820895
N089,CANAL ST,08:01:27,940373139.0,575671639.0,742.0,1758.0,2500.0
A066,CANAL ST,08:01:45,1751401596.0,1771676942.0,26.0,156.0,182.0
R119,CANAL ST,08:02:08,16799114.0,5800484.0,27.0,22.0,49.0
A066,CANAL ST,08:45:37,1751401622.0,1771677098.0,16.0,117.0,133.0
R119,CANAL ST,09:00:00,17014331.91044776,5860929.507462687,295.17910447761193,171.52238805970148,466.7014925373134
A043,CANAL ST,09:00:00,769155319.9552239,927131126.7910448,1225.7910447761194,3228.179104477612,4453.9701492537315
A046,CANAL ST,09:00:00,2174281910.970149,665792049.0,2605.1641791044776,4750.313432835821,7355.477611940299
R120,CANAL ST,09:00:00,2650523.23880597,11687472.880597016,78.5223880597015,472.8358208955224,551.3582089552239
A066,CANAL ST,09:00:00,1488064593.8656716,2693653945.6567163,771.8358208955224,948.5970149253732,1720.4328358208954
A066,CANAL ST,09:16:30,1751401691.0,1771677284.0,317504903.0,2022116926.0,2339621829.0
N090,CANAL ST,11:00:00,14875081.466666667,22416513.533333335,501.0,762.2,1263.2
N089,CANAL ST,11:00:00,939446477.9333333,574966400.0666667,1307.8,1692.0,2999.8
R119,CANAL ST,12:00:00,16774177.866666667,5787310.0,403.3333333333333,164.06666666666666,567.4
N089,CANAL ST,12:00:00,939941565.4776119,575374223.1940298,1563.1044776119404,1784.8507462686566,3347.955223880597
A043,CANAL ST,12:00:00,768463084.2666667,926496812.4666667,3014.866666666667,3807.4666666666667,6822.333333333333
A066,CANAL ST,12:00:00,1391203613.1333334,2535752248.4,1822.5333333333333,761.1333333333333,2583.6666666666665
R120,CANAL ST,12:00:00,2601077.6,11489700.8,112.4,596.2666666666667,708.6666666666666
A046,CANAL ST,12:00:00,2173814040.6666665,666414144.7333333,5573.666666666667,4496.2,10069.866666666667
N090,CANAL ST,12:00:00,15106195.164179105,22644503.298507463,581.7164179104477,833.9850746268656,1415.7014925373135
R119,CANAL ST,13:00:00,17014627.08955224,5861101.0298507465,577.5820895522388,253.91044776119404,831.4925373134329
A066,CANAL ST,13:00:00,1492804244.8507462,2723835743.8955226,1838.6268656716418,676.7313432835821,2515.3582089552237
R120,CANAL ST,13:00:00,2655533.7164179105,11688812.731343284,110.38805970149254,585.5970149253732,695.9850746268656
A043,CANAL ST,13:00:00,763874291.6716418,920591988.3880597,3482.820895522388,3541.194029850746,7024.014925373134
A046,CANAL ST,13:00:00,2145222831.402985,657027367.4626865,6004.134328358209,4331.089552238806,10335.223880597016
N090,CANAL ST,15:00:00,14875582.466666667,22417275.733333334,797.8,697.8,1495.6
N089,CANAL ST,15:00:00,939447785.7333333,574968092.0666667,2249.6,1449.6,3699.2
A066,CANAL ST,16:00:00,1391205435.6666667,2535753009.5333333,2178.0,641.3333333333334,2819.3333333333335
A046,CANAL ST,16:00:00,2173819572.3333335,666418613.5333333,6012.133333333333,2885.0,8897.133333333333
N090,CANAL ST,16:00:00,15106776.880597016,22645337.28358209,705.6119402985074,649.3432835820895,1354.955223880597
R119,CANAL ST,16:00:00,16774581.2,5787474.066666666,516.2666666666667,126.26666666666667,642.5333333333333
N089,CANAL ST,16:00:00,939943128.5820895,575376008.0447761,2124.9253731343283,1450.4328358208954,3575.3582089552237
R120,CANAL ST,16:00:00,2601190.0,11490297.066666666,123.73333333333333,471.6,595.3333333333334
A043,CANAL ST,16:00:00,768466099.1333333,926500619.9333333,4023.8,2369.0,6392.8
R119,CANAL ST,17:00:00,17001908.23880597,5856260.179104477,562.0895522388059,163.2537313432836,725.3432835820895
A046,CANAL ST,17:00:00,2145228835.5373135,657031698.5522388,5616.820895522388,2810.5671641791046,8427.388059701492
