CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N078,14 ST,00:00:00,1680154572.3888888,815266058.5555556,810.0555555555555,308.0,1118.0555555555557
R127,14 ST,00:00:00,1473618073.71875,1580657782.9375,695.140625,163.875,859.015625
N513,14 ST,00:00:00,5315283.9375,4439616.453125,87.71875,104.234375,191.953125
N512,14 ST,00:00:00,25457585.984375,31856291.84375,277.03125,259.25,536.28125
R128,14 ST,00:00:00,29233812.4375,16323573.515625,403.96875,83.875,487.84375
N511,14 ST,00:00:00,13075657.301587302,10107827.222222222,64.60317460317461,30.047619047619047,94.65079365079364
N510,14 ST,00:00:00,230200464.046875,146050930.5625,57.0,33.09375,90.09375
N078,14 ST,01:00:00,1725147639.796875,839664124.328125,575.640625,196.109375,771.75
N513,14 ST,03:00:00,5142278.0,4236900.133333334,31.6,56.0,87.6
N512,14 ST,03:00:00,25148570.733333334,31406777.266666666,73.66666666666667,154.66666666666666,228.33333333333334
R127,14 ST,03:00:00,1474515462.0,1581130298.6,217.2,133.26666666666668,350.46666666666664
N511,14 ST,03:00:00,12876796.333333334,9914944.933333334,13.266666666666667,33.86666666666667,47.13333333333333
R128,14 ST,03:00:00,29177968.066666666,16270043.066666666,80.33333333333333,53.2,133.53333333333333
N510,14 ST,03:00:00,224000453.26666668,142724963.06666666,22.933333333333334,25.2,48.13333333333333
R127,14 ST,03:24:28,1474303453.0,1581164294.0,1.0,0.0,1.0
R127,14 ST,03:25:49,1474303454.0,1581164294.0,0.0,0.0,0.0
R127,14 ST,03:27:11,1474303454.0,1581164294.0,2.0,3.0,5.0
R127,14 ST,03:28:32,1474303456.0,1581164297.0,32.0,13.0,45.0
N512,14 ST,04:00:00,25446027.746268656,31839336.358208954,73.02985074626865,217.19402985074626,290.2238805970149
N078,14 ST,04:00:00,1680132125.3333333,815248472.5333333,306.6666666666667,440.53333333333336,747.2
R127,14 ST,04:00:00,1473662843.9701493,1580681395.5074627,207.97014925373134,211.59701492537314,419.56716417910445
R128,14 ST,04:00:00,29234318.98507463,16322795.029850746,98.53731343283582,98.92537313432835,197.46268656716418
N513,14 ST,04:00:00,5308909.417910447,4432120.686567164,35.19402985074627,78.55223880597015,113.74626865671642
N511,14 ST,04:00:00,13083570.671641791,10106747.970149254,17.611940298507463,75.44776119402985,93.05970149253731
N510,14 ST,04:00:00,229924249.23880598,145903405.74626866,20.0,45.71641791044776,65.71641791044776
N078,14 ST,05:00:00,1723138817.7910447,838575880.8656716,376.55223880597015,751.0895522388059,1127.641791044776
N513,14 ST,07:00:00,5142309.6,4236956.133333334,104.33333333333333,383.8,488.1333333333333
R127,14 ST,07:00:00,1474515679.2,1581130431.8666666,426.53333333333336,700.7333333333333,1127.2666666666667
N512,14 ST,07:00:00,25148644.4,31406931.933333334,214.2,760.6,974.8
N510,14 ST,07:00:00,224000476.2,142724988.26666668,76.13333333333334,292.93333333333334,369.06666666666666
N511,14 ST,07:00:00,12876809.6,9914978.8,69.33333333333333,312.73333333333335,382.06666666666666
R128,14 ST,07:00:00,29178048.4,16270096.266666668,383.3333333333333,420.8666666666667,804.2
R127,14 ST,07:50:19,1471247257.0,1579268822.0,18.0,46.0,64.0
R128,14 ST,08:00:00,29234417.52238806,16322893.95522388,521.8805970149253,595.9104477611941,1117.7910447761194
N511,14 ST,08:00:00,13083588.28358209,10106823.417910447,129.71641791044777,355.3134328358209,485.02985074626866
N512,14 ST,08:00:00,25446100.776119404,31839553.552238807,350.4029850746269,919.955223880597,1270.358208955224
N513,14 ST,08:00:00,5308944.611940298,4432199.23880597,125.38805970149254,473.9850746268657,599.3731343283582
N510,14 ST,08:00:00,229924269.23880598,145903451.46268657,108.01492537313433,326.5820895522388,434.5970149253731
R127,14 ST,08:00:00,1473523908.9701493,1580588072.074627,719.1044776119403,978.9701492537314,1698.0746268656717
N078,14 ST,08:00:00,1680132432.0,815248913.0666667,1009.7333333333333,2000.0666666666666,3009.8
N078,14 ST,09:00:00,1723094951.4626865,838551060.9402986,1357.2985074626865,2428.0597014925374,3785.3582089552237
N513,14 ST,11:00:00,5142413.933333334,4237339.933333334,347.8,860.7333333333333,1208.5333333333333
R128,14 ST,11:00:00,29178431.733333334,16270517.133333333,1079.0666666666666,888.4,1967.4666666666667
N512,14 ST,11:00:00,25148858.6,31407692.533333335,830.0,1339.4666666666667,2169.4666666666667
R127,14 ST,11:00:00,1474516105.7333333,1581131132.6,1596.7333333333333,1429.9333333333334,3026.6666666666665
N511,14 ST,11:00:00,12876878.933333334,9915291.533333333,428.1333333333333,465.8,893.9333333333333
N510,14 ST,11:00:00,224000552.33333334,142725281.2,322.53333333333336,616.4666666666667,939.0
N510,14 ST,12:00:00,229924377.25373134,145903778.0447761,356.35820895522386,499.7014925373134,856.0597014925373
N513,14 ST,12:00:00,5309070.0,4432673.223880597,372.2089552238806,815.4776119402985,1187.686567164179
N511,14 ST,12:00:00,13083718.0,10107178.731343284,517.3283582089553,492.5820895522388,1009.9104477611941
N512,14 ST,12:00:00,25424275.04477612,31799798.507462688,982.8507462686567,1350.6716417910447,2333.5223880597014
N078,14 ST,12:00:00,1680133441.7333333,815250913.1333333,2596.3333333333335,2654.9333333333334,5251.266666666666
R127,14 ST,12:00:00,1473663771.313433,1580682586.761194,1998.8358208955224,1534.7164179104477,3533.5522388059703
R128,14 ST,12:00:00,29234939.402985074,16323489.865671642,1165.55223880597,916.6865671641791,2082.2388059701493
N078,14 ST,13:00:00,1723140551.641791,838579060.0149254,2932.776119402985,2905.3432835820895,5838.119402985075
R128,14 ST,15:00:00,29179510.8,16271405.533333333,1481.0666666666666,880.3333333333334,2361.4
N512,14 ST,15:00:00,25149688.6,31409032.0,1301.4,1392.8,2694.2
N513,14 ST,15:00:00,5142761.733333333,4238200.666666667,550.2,867.6666666666666,1417.8666666666666
R127,14 ST,15:00:00,1474517702.4666667,1581132562.5333333,2483.4,1444.1333333333334,3927.5333333333333
N510,14 ST,15:00:00,224000874.86666667,142725897.66666666,539.1333333333333,570.8666666666667,1110.0
N511,14 ST,15:00:00,12877307.066666666,9915757.333333334,758.2,447.26666666666665,1205.4666666666667
R127,14 ST,16:00:00,1473665770.1492538,1580684121.477612,2487.1492537313434,1314.6716417910447,3801.820895522388
R128,14 ST,16:00:00,29236104.95522388,16324406.552238805,1321.3283582089553,821.223880597015,2142.5522388059703
N512,14 ST,16:00:00,25447434.029850747,31841824.179104477,1242.3432835820895,1290.0298507462687,2532.373134328358
N510,14 ST,16:00:00,229924733.6119403,145904277.74626866,435.1044776119403,356.74626865671644,791.8507462686567
N511,14 ST,16:00:00,12934447.910447761,9971834.776119404,669.6865671641791,347.64179104477614,1017.3283582089553
N513,14 ST,16:00:00,5309442.208955224,4433488.701492538,458.0149253731343,670.2985074626865,1128.313432835821
N078,14 ST,16:00:00,1680136038.0666666,815253568.0666667,3262.2,2066.8,5329.0
N078,14 ST,17:00:00,1723121641.522388,838557306.2835821,2897.6716417910447,1950.313432835821,4847.985074626866
R127,14 ST,19:00:00,1474520185.8666666,1581134006.6666667,1627.0666666666666,776.3333333333334,2403.4
N510,14 ST,19:00:00,224001414.0,142726468.53333333,297.4,180.93333333333334,478.3333333333333
N511,14 ST,19:00:00,12878065.266666668,9916204.6,394.93333333333334,143.93333333333334,538.8666666666667
N512,14 ST,19:00:00,25150990.0,31410424.8,890.4666666666667,764.9333333333333,1655.4
R128,14 ST,19:00:00,29180991.866666667,16272285.866666667,1079.3333333333333,455.06666666666666,1534.4
N513,14 ST,19:00:00,5143311.933333334,4239068.333333333,350.93333333333334,376.6666666666667,727.6
N511,14 ST,20:00:00,13084905.014925374,10108018.95522388,269.85074626865674,107.19402985074628,377.04477611940297
N512,14 ST,20:00:00,25448676.37313433,31843114.208955225,725.776119402985,637.1492537313433,1362.9253731343283
