CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R231A,33 ST,14:44:52,16522381.0,10659321.0,1487.0,723.0,2210.0
R232A,33 ST,14:59:07,270254823.0,85599319.0,670.0,460.0,1130.0
R232,33 ST,15:05:24,21024571.0,22984456.0,1305.0,835.0,2140.0
R232,33 ST,16:00:00,23362657.466666665,25435516.066666666,3070.2,1800.9333333333334,4871.133333333333
R231A,33 ST,16:00:00,18218456.733333334,11956866.333333334,3082.3333333333335,1272.0,4354.333333333333
R232A,33 ST,16:00:00,360017355.8,85576321.9,1908.0,648.4666666666667,2556.4666666666667
R231,33 ST,16:00:00,43064922.53333333,20717859.3,4343.9,1588.0333333333333,5931.933333333333
R232A,33 ST,17:00:00,362747302.69714284,85705720.6,1653.1657142857143,560.9542857142857,2214.12
R231A,33 ST,17:00:00,18548101.09142857,12177320.542857142,2663.942857142857,1283.2,3947.1428571428573
R232,33 ST,17:00:00,23773100.897142857,25852681.09142857,2724.691428571429,1531.5942857142857,4256.285714285715
R231,33 ST,17:00:00,43594862.662857145,21019752.64,3740.2228571428573,1442.0628571428572,5182.285714285715
R232,33 ST,20:00:00,23365727.666666668,25437317.0,634.3,340.96666666666664,975.2666666666667
R231A,33 ST,20:00:00,18221539.066666666,11958138.333333334,763.9666666666667,292.43333333333334,1056.4
R232A,33 ST,20:00:00,360019263.8,85576970.36666666,316.8666666666667,123.4,440.26666666666665
R231,33 ST,20:00:00,43069266.43333333,20719447.333333332,1151.0,416.7,1567.7
R231A,33 ST,21:00:00,18562737.222857144,12205078.32,554.0685714285714,234.8,788.8685714285714
R231,33 ST,21:00:00,43598602.885714285,21021194.702857144,827.9085714285715,298.10285714285715,1126.0114285714285
R232,33 ST,21:00:00,23760995.752873562,25839254.729885057,395.5,251.94827586206895,647.448275862069
R232A,33 ST,21:00:00,361820056.0,85695721.71264368,208.95977011494253,94.76436781609195,303.7241379310345
