CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A027,28 ST,00:00:00,11738692.9375,10518430.890625,288.5,118.3125,406.8125
R228,28 ST,00:00:00,1477534752.6666667,1906795643.1111112,191.16666666666666,98.33333333333333,289.5
R133,28 ST,00:00:00,22165291.611111112,7388009.722222222,240.33333333333334,69.05555555555556,309.3888888888889
R229,28 ST,00:00:00,24618129.166666668,19215727.0,463.3333333333333,193.11111111111111,656.4444444444445
R134,28 ST,00:00:00,12737194.222222222,152664596.5,78.0,86.66666666666667,164.66666666666666
A029,28 ST,00:00:00,18947174.0,28360775.421875,217.734375,117.328125,335.0625
R230,28 ST,00:00:00,12837865.722222222,5857940.666666667,0.1111111111111111,0.2777777777777778,0.3888888888888889
R228,28 ST,01:00:00,1494507090.484375,1912623538.46875,125.15625,92.765625,217.921875
R133,28 ST,01:00:00,21902290.09375,7114324.109375,183.765625,42.578125,226.34375
R229,28 ST,01:00:00,21563502.0,13907183.71875,257.59375,100.875,358.46875
R134,28 ST,01:00:00,12970555.8125,152961345.625,56.84375,54.125,110.96875
R230,28 ST,01:00:00,12869144.4375,5973033.046875,0.3125,1.125,1.4375
A029,28 ST,03:00:00,18635957.2,27925398.333333332,60.06666666666667,128.46666666666667,188.53333333333333
A027,28 ST,03:00:00,11338120.2,10178360.533333333,66.6,94.4,161.0
R229,28 ST,04:00:00,24601324.666666668,19203856.333333332,248.73333333333332,274.3333333333333,523.0666666666667
R230,28 ST,04:00:00,12837096.533333333,5855229.333333333,0.26666666666666666,0.6666666666666666,0.9333333333333333
A029,28 ST,04:00:00,18935487.47761194,28344207.253731344,71.64179104477611,242.55223880597015,314.1940298507463
R133,28 ST,04:00:00,22152751.666666668,7383331.0,112.6,52.93333333333333,165.53333333333333
R134,28 ST,04:00:00,12731633.8,152657646.46666667,45.2,141.53333333333333,186.73333333333332
R228,28 ST,04:00:00,1477524914.1333334,1906783422.3333333,87.46666666666667,374.8666666666667,462.3333333333333
A027,28 ST,04:00:00,11723574.925373135,10505522.970149254,86.73134328358209,172.1044776119403,258.8358208955224
R229,28 ST,05:00:00,21704409.08955224,14147685.537313433,346.3134328358209,299.8955223880597,646.2089552238806
R133,28 ST,05:00:00,21918079.58208955,7128302.701492538,199.44776119402985,93.64179104477611,293.089552238806
R230,28 ST,05:00:00,12867916.432835821,5968487.820895523,0.19402985074626866,0.47761194029850745,0.6716417910447762
R134,28 ST,05:00:00,12961426.910447761,152949689.31343284,109.97014925373135,248.73134328358208,358.7014925373134
R228,28 ST,05:00:00,1493749508.6268656,1912365438.9552238,209.1044776119403,703.7910447761194,912.8955223880597
A027,28 ST,07:00:00,11338186.8,10178454.933333334,326.26666666666665,721.5333333333333,1047.8
A029,28 ST,07:00:00,18636017.266666666,27925526.8,365.93333333333334,1064.4,1430.3333333333333
R134,28 ST,08:00:00,12731679.0,152657788.0,330.26666666666665,569.6666666666666,899.9333333333333
A027,28 ST,08:00:00,11723661.656716418,10505695.074626865,486.1194029850746,861.5074626865671,1347.6268656716418
R228,28 ST,08:00:00,1477525001.6,1906783797.2,556.1333333333333,1076.1333333333334,1632.2666666666667
R230,28 ST,08:00:00,12837096.8,5855230.0,0.3333333333333333,1.0666666666666667,1.4
R229,28 ST,08:00:00,24601573.4,19204130.666666668,845.4666666666667,902.0666666666667,1747.5333333333333
A029,28 ST,08:00:00,18961829.5,28381151.803030305,516.8333333333334,1064.1666666666667,1581.0
R133,28 ST,08:00:00,22152864.266666666,7383383.933333334,535.8666666666667,304.8666666666667,840.7333333333333
R228,28 ST,09:00:00,1493749717.7313433,1912366142.7462687,843.6567164179105,1391.402985074627,2235.0597014925374
R230,28 ST,09:00:00,12867916.626865672,5968488.298507462,0.43283582089552236,1.7164179104477613,2.1492537313432836
R229,28 ST,09:00:00,21704755.402985074,14147985.432835821,1019.6268656716418,841.820895522388,1861.44776119403
R134,28 ST,09:00:00,12961536.880597016,152949938.0447761,450.7014925373134,653.4477611940298,1104.1492537313434
R133,28 ST,09:00:00,21918279.029850747,7128396.3432835825,796.0,325.43283582089555,1121.4328358208954
A027,28 ST,11:00:00,11338513.066666666,10179176.466666667,904.2,1173.5333333333333,2077.733333333333
A029,28 ST,11:00:00,18636383.2,27926591.2,910.8,1409.6,2320.4
R228,28 ST,12:00:00,1477525557.7333333,1906784873.3333333,889.7333333333333,1221.5333333333333,2111.266666666667
R230,28 ST,12:00:00,12837097.133333333,5855231.066666666,0.9333333333333333,1.6,2.533333333333333
R133,28 ST,12:00:00,22153400.133333333,7383688.8,1086.0,460.53333333333336,1546.5333333333333
A029,28 ST,12:00:00,18936068.23880597,28345498.08955224,879.5671641791045,1255.1044776119404,2134.6716417910447
A027,28 ST,12:00:00,11724147.776119404,10506556.582089553,1032.4925373134329,1184.7313432835822,2217.223880597015
R134,28 ST,12:00:00,12732009.266666668,152658357.66666666,487.6666666666667,611.3333333333334,1099.0
R229,28 ST,12:00:00,24602418.866666667,19205032.733333334,1457.3333333333333,1375.5333333333333,2832.866666666667
R230,28 ST,13:00:00,12865436.363636363,5959381.136363637,0.12121212121212122,0.21212121212121213,0.3333333333333333
R133,28 ST,13:00:00,21919075.029850747,7128721.776119403,1222.4179104477612,444.05970149253733,1666.4776119402984
R134,28 ST,13:00:00,12948158.597014925,152892653.82089552,485.3731343283582,702.179104477612,1187.55223880597
R229,28 ST,13:00:00,21705775.029850747,14148827.253731344,1511.5820895522388,1205.865671641791,2717.4477611940297
R228,28 ST,13:00:00,1493750561.3880596,1912367534.1492538,1077.358208955224,1488.9701492537313,2566.3283582089553
A027,28 ST,15:00:00,11339417.266666668,10180350.0,1380.2,1190.0,2570.2
A029,28 ST,15:00:00,18637294.0,27928000.8,1168.1333333333334,1393.8666666666666,2562.0
R229,28 ST,16:00:00,24603876.2,19206408.266666666,1528.8,1423.4666666666667,2952.266666666667
A027,28 ST,16:00:00,11725180.268656716,10507741.313432835,1245.686567164179,1059.8805970149253,2305.5671641791046
A029,28 ST,16:00:00,18936947.80597015,28346753.19402985,928.5373134328358,1111.8955223880596,2040.4328358208954
R228,28 ST,16:00:00,1477526447.4666667,1906786094.8666666,859.8666666666667,1157.1333333333334,2017.0
R133,28 ST,16:00:00,22154486.133333333,7384149.333333333,1193.5333333333333,428.0,1621.5333333333333
