CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A066,CANAL ST,08:18:06,32699550.0,16735082.0,191.0,335.0,526.0
A046,CANAL ST,08:19:04,2174287124.0,665171884.0,549.0,1299.0,1848.0
A066,CANAL ST,08:32:12,2068913606.0,3793799712.0,73.0,299.0,372.0
A066,CANAL ST,08:33:03,33414891.0,16942359.0,12176.0,3199.0,15375.0
A046,CANAL ST,08:35:20,2167164628.0,659276244.0,317.0,904.0,1221.0
A066,CANAL ST,08:36:47,2069971458.0,3794847854.0,36.0,145.0,181.0
A046,CANAL ST,08:37:51,2167298228.0,659383069.0,289.0,788.0,1077.0
A046,CANAL ST,08:38:20,2179981899.0,669799021.0,136.0,544.0,680.0
N089,CANAL ST,08:43:54,940458254.0,575750366.0,917.0,3373.0,4290.0
A046,CANAL ST,08:46:18,2167125448.0,659245438.0,182.0,532.0,714.0
A043,CANAL ST,08:46:39,768078218.0,926252840.0,92.0,720.0,812.0
A046,CANAL ST,08:49:01,2179705505.0,669589151.0,788.0,2313.0,3101.0
A043,CANAL ST,08:49:09,767713975.0,925918506.0,73.0,527.0,600.0
N090,CANAL ST,08:50:51,13525256.0,22549877.0,637.0,2309.0,2946.0
N089,CANAL ST,08:52:16,938753124.0,573867395.0,1161.0,3302.0,4463.0
A043,CANAL ST,08:58:27,772175706.0,930055539.0,13.0,123.0,136.0
A066,CANAL ST,09:00:00,1513849793.9941862,2762858748.4360466,912.2616279069767,1202.7674418604652,2115.029069767442
R119,CANAL ST,09:00:00,17018242.897142857,5862416.468571428,662.8914285714286,538.04,1200.9314285714286
R120,CANAL ST,09:00:00,2646247.1542857145,11649517.382857142,177.44571428571427,1415.4914285714285,1592.9371428571428
A046,CANAL ST,09:00:00,2163161190.4228573,662377882.9371428,3190.022857142857,5340.594285714285,8530.617142857143
A043,CANAL ST,09:00:00,767055273.6571429,924549252.52,1881.097142857143,4747.88,6628.977142857143
A046,CANAL ST,09:17:57,2167185496.0,659293275.0,726.0,1919.0,2645.0
A043,CANAL ST,09:23:49,766878358.0,924748826.0,1530.0,3039.0,4569.0
A046,CANAL ST,09:23:54,2166721549.0,658906938.0,25.0,44.0,69.0
A046,CANAL ST,09:26:00,2166721574.0,658906982.0,2962.0,4792.0,7754.0
N089,CANAL ST,09:26:34,940385327.0,575686189.0,216.0,1109.0,1325.0
A046,CANAL ST,09:37:28,2167400788.0,659464314.0,2722.0,4057.0,6779.0
N090,CANAL ST,09:40:10,13492945.0,22518371.0,487.0,1163.0,1650.0
A046,CANAL ST,09:40:50,2173379213.0,664410593.0,3057.0,4433.0,7490.0
A046,CANAL ST,09:41:18,2167145753.0,659262971.0,509.0,1208.0,1717.0
N089,CANAL ST,09:41:27,938676021.0,573804450.0,713.0,1895.0,2608.0
A046,CANAL ST,09:42:35,2173664629.0,664645429.0,2941.0,4812.0,7753.0
A046,CANAL ST,09:43:57,2167126111.0,659247429.0,17.0,114.0,131.0
A046,CANAL ST,09:45:46,2167126128.0,659247543.0,2711.0,3943.0,6654.0
A043,CANAL ST,09:48:54,767051454.0,924892926.0,1339.0,2337.0,3676.0
A046,CANAL ST,09:52:16,2179706293.0,669591464.0,1753.0,2722.0,4475.0
