CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N078,14 ST,00:00:00,1671467826.3333333,813881507.1666666,439.4,159.43333333333334,598.8333333333334
N510,14 ST,00:00:00,229723893.57714286,145866698.90285715,36.23428571428571,17.377142857142857,53.61142857142857
N512,14 ST,00:00:00,25451065.302857142,31846288.26857143,123.41714285714286,93.67428571428572,217.09142857142857
N513,14 ST,00:00:00,5307833.571428572,4432496.7485714285,54.42857142857143,53.25714285714286,107.68571428571428
R127,14 ST,00:00:00,1473623230.3678162,1580660716.0747128,321.67816091954023,87.97126436781609,409.64942528735634
R128,14 ST,00:00:00,29188863.390804596,16299380.603448275,208.19540229885058,37.45402298850575,245.6494252873563
N511,14 ST,00:00:00,13031039.011494253,10061859.511494253,37.38505747126437,17.810344827586206,55.195402298850574
N078,14 ST,01:00:00,1721342443.8742857,837610711.1485714,293.10285714285715,132.2057142857143,425.30857142857144
N513,14 ST,03:00:00,5145566.7,4241187.1,67.5,139.03333333333333,206.53333333333333
N511,14 ST,03:00:00,12880717.166666666,9918160.733333332,19.933333333333334,138.53333333333333,158.46666666666667
N512,14 ST,03:00:00,25154414.766666666,31414776.966666665,72.8,319.8,392.6
R128,14 ST,03:00:00,29173275.466666665,16267773.166666666,130.33333333333334,147.73333333333332,278.06666666666666
N510,14 ST,03:00:00,224003749.2,142728448.93333334,41.4,128.56666666666666,169.96666666666667
R127,14 ST,03:00:00,1469571060.8666666,1580233653.7666667,160.66666666666666,326.2,486.8666666666667
R127,14 ST,04:00:00,1466564784.7873564,1571969528.821839,388.235632183908,706.2011494252873,1094.4367816091954
N513,14 ST,04:00:00,5307888.0,4432550.005714286,206.2,324.63428571428574,530.8342857142857
N512,14 ST,04:00:00,25451188.72,31846381.942857143,165.11428571428573,779.7085714285714,944.8228571428572
N078,14 ST,04:00:00,1680149544.6666667,815262156.6,712.9333333333333,2175.4666666666667,2888.4
N510,14 ST,04:00:00,229723929.81142858,145866716.28,153.83428571428573,418.65714285714284,572.4914285714286
R128,14 ST,04:00:00,29071897.03448276,16241238.235632183,464.81609195402297,350.18390804597703,815.0
