CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R231,33 ST,00:00:00,43063326.5,20715737.5,292.5,136.05555555555554,428.55555555555554
R232,33 ST,00:00:00,23360853.666666668,25432035.277777776,106.5,61.27777777777778,167.77777777777777
R232A,33 ST,00:00:00,360016968.3333333,85575000.77777778,66.5,17.666666666666668,84.16666666666667
R231A,33 ST,00:00:00,18217655.5,11955342.0,209.38888888888889,93.77777777777777,303.1666666666667
R231,33 ST,01:00:00,43550551.14285714,20993984.666666668,168.9047619047619,68.92063492063492,237.82539682539684
R232,33 ST,01:00:00,23777894.0625,25856080.59375,80.671875,55.328125,136.0
R231A,33 ST,01:00:00,18498951.46875,12199489.078125,104.71875,56.453125,161.171875
R232A,33 ST,01:00:00,362987383.6875,85704356.765625,51.453125,17.609375,69.0625
R232,33 ST,04:00:00,23351121.333333332,25422045.266666666,58.2,252.33333333333334,310.53333333333336
R232A,33 ST,04:00:00,360012318.6,85571305.33333333,24.866666666666667,91.2,116.06666666666666
R231A,33 ST,04:00:00,18209135.666666668,11949004.6,95.46666666666667,95.86666666666666,191.33333333333334
R231,33 ST,04:00:00,43050375.733333334,20708056.933333334,167.53333333333333,163.46666666666667,331.0
R231,33 ST,05:00:00,43580640.40298507,21010686.08955224,237.19402985074626,193.40298507462686,430.5970149253731
R232,33 ST,05:00:00,23761505.164179105,25839399.37313433,153.86567164179104,451.17910447761193,605.044776119403
R231A,33 ST,05:00:00,18562038.58208955,12219659.059701493,141.8955223880597,115.92537313432835,257.82089552238807
R232A,33 ST,05:00:00,362855488.01492536,85699413.6119403,64.65671641791045,165.37313432835822,230.02985074626866
R232A,33 ST,08:00:00,360012343.46666664,85571396.53333333,202.4,260.26666666666665,462.6666666666667
R231,33 ST,08:00:00,43050543.266666666,20708220.4,670.0,607.9333333333333,1277.9333333333334
R232,33 ST,08:00:00,23351179.533333335,25422297.6,624.0,758.2666666666667,1382.2666666666667
R231A,33 ST,08:00:00,18209231.133333333,11949100.466666667,385.2,378.46666666666664,763.6666666666666
R231A,33 ST,09:00:00,18562180.47761194,12219774.985074626,500.8805970149254,428.7313432835821,929.6119402985074
R232,33 ST,09:00:00,23761659.029850747,25839850.552238807,981.0149253731344,920.8955223880597,1901.910447761194
R232A,33 ST,09:00:00,362855552.67164177,85699578.98507462,349.34328358208955,338.94029850746267,688.2835820895523
R231,33 ST,09:00:00,43580877.59701493,21010879.492537312,832.4179104477612,577.4477611940298,1409.865671641791
R232A,33 ST,12:00:00,360012545.8666667,85571656.8,370.0,337.26666666666665,707.2666666666667
R232,33 ST,12:00:00,23351803.533333335,25423055.866666667,1007.9333333333333,822.6,1830.5333333333333
R231,33 ST,12:00:00,43051213.266666666,20708828.333333332,1280.2666666666667,908.2,2188.4666666666667
R231A,33 ST,12:00:00,18087054.933333334,11699015.4,768.0666666666667,718.9333333333333,1487.0
R232,33 ST,13:00:00,23762640.04477612,25840771.447761193,1128.5373134328358,1003.7611940298508,2132.2985074626868
R232A,33 ST,13:00:00,362855902.01492536,85699917.92537314,439.46268656716416,429.97014925373134,869.4328358208955
R231A,33 ST,13:00:00,18562681.358208954,12220203.71641791,788.7910447761194,784.1492537313433,1572.9402985074628
R231,33 ST,13:00:00,43581710.014925376,21011456.94029851,1287.044776119403,837.2537313432836,2124.2985074626868
R231A,33 ST,16:00:00,18210384.4,11950197.866666667,839.0,830.6666666666666,1669.6666666666667
R232,33 ST,16:00:00,23352811.466666665,25423878.466666665,839.2666666666667,731.4,1570.6666666666667
R232A,33 ST,16:00:00,360012915.8666667,85571994.06666666,334.8666666666667,297.4,632.2666666666667
R231,33 ST,16:00:00,43052493.53333333,20709736.533333335,1355.4,976.1333333333333,2331.5333333333333
R232,33 ST,17:00:00,23763768.58208955,25841775.208955225,912.8358208955224,764.7611940298508,1677.597014925373
R232A,33 ST,17:00:00,362226679.8484849,85708004.0909091,360.8030303030303,331.8636363636364,692.6666666666666
R231,33 ST,17:00:00,43582997.059701495,21012294.19402985,1121.1044776119404,760.2388059701492,1881.3432835820895
R231A,33 ST,17:00:00,18563470.14925373,12220987.865671642,673.2388059701492,769.5820895522388,1442.8208955223881
R231A,33 ST,20:00:00,18211223.4,11951028.533333333,523.9333333333333,350.26666666666665,874.2
R232,33 ST,20:00:00,23353650.733333334,25424609.866666667,415.8666666666667,335.06666666666666,750.9333333333333
R231,33 ST,20:00:00,43053848.93333333,20710712.666666668,812.8666666666667,446.53333333333336,1259.4
R232A,33 ST,20:00:00,360013250.73333335,85572291.46666667,188.86666666666667,112.0,300.8666666666667
R231A,33 ST,21:00:00,18564143.3880597,12221757.447761195,441.6865671641791,285.85074626865674,727.5373134328358
R231,33 ST,21:00:00,43584118.1641791,21013054.43283582,654.9850746268656,318.04477611940297,973.0298507462686
R232,33 ST,21:00:00,23764681.41791045,25842539.970149253,366.85074626865674,297.4179104477612,664.2686567164179
R232A,33 ST,21:00:00,362856696.8955224,85700674.80597015,180.13432835820896,111.35820895522389,291.4925373134328
