CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N069,34 ST-PENN STA,06:17:52,17489493.0,11606638.0,204.0,582.0,786.0
N070,34 ST-PENN STA,06:17:57,204133174.0,26059380.0,2.0,26.0,28.0
N068,34 ST-PENN STA,06:18:59,21621822.0,15905329.0,1.0,35.0,36.0
N072,34 ST-PENN STA,06:20:01,80319997.0,37986796.0,77.0,18.0,95.0
N070,34 ST-PENN STA,06:21:06,204133176.0,26059406.0,4.0,14.0,18.0
N072,34 ST-PENN STA,06:22:08,80320074.0,37986814.0,185.0,28.0,213.0
R138,34 ST-PENN STA,06:22:55,1884292354.0,1200080553.0,95.0,12.0,107.0
N070,34 ST-PENN STA,06:23:17,204133180.0,26059420.0,9.0,1.0,10.0
N068,34 ST-PENN STA,06:24:20,21621823.0,15905364.0,17.0,50.0,67.0
R138,34 ST-PENN STA,06:24:36,1884292449.0,1200080565.0,190.0,26.0,216.0
N070,34 ST-PENN STA,06:25:23,204133189.0,26059421.0,2.0,0.0,2.0
N070,34 ST-PENN STA,06:26:27,204133191.0,26059421.0,4.0,6.0,10.0
R138,34 ST-PENN STA,06:27:25,1884341175.0,1200109889.0,99.0,11.0,110.0
N072,34 ST-PENN STA,06:27:29,80320259.0,37986842.0,67.0,2.0,69.0
N070,34 ST-PENN STA,06:28:41,204133195.0,26059427.0,1.0,0.0,1.0
R138,34 ST-PENN STA,06:28:45,1884341274.0,1200109900.0,1601.0,245.0,1846.0
N070,34 ST-PENN STA,06:29:47,204133196.0,26059427.0,5.0,48.0,53.0
R138,34 ST-PENN STA,06:30:49,1884292639.0,1200080591.0,406.0,93.0,499.0
N072,34 ST-PENN STA,06:30:49,80320326.0,37986844.0,31.0,4.0,35.0
N067,34 ST-PENN STA,06:31:34,2167543985.0,557223042.0,2627.0,1411.0,4038.0
N072,34 ST-PENN STA,06:32:01,80320357.0,37986848.0,41.0,38.0,79.0
N072,34 ST-PENN STA,06:33:21,80320398.0,37986886.0,93.0,26.0,119.0
N070,34 ST-PENN STA,06:34:44,204133201.0,26059475.0,1.0,0.0,1.0
N067,34 ST-PENN STA,06:35:48,43371186.0,73779175.0,7726.0,4853.0,12579.0
N070,34 ST-PENN STA,06:36:04,204133202.0,26059475.0,298.0,518.0,816.0
N072,34 ST-PENN STA,06:37:26,80320491.0,37986912.0,4.0,16.0,20.0
N072,34 ST-PENN STA,06:38:46,80320495.0,37986928.0,13.0,17.0,30.0
N072,34 ST-PENN STA,06:40:12,80320508.0,37986945.0,58.0,0.0,58.0
R138,34 ST-PENN STA,06:41:02,1884293045.0,1200080684.0,866.0,144.0,1010.0
N072,34 ST-PENN STA,06:41:32,80320566.0,37986945.0,58.0,0.0,58.0
N072,34 ST-PENN STA,06:42:52,80320624.0,37986945.0,4538.0,254.0,4792.0
N067,34 ST-PENN STA,06:44:17,191578055.0,67867156.0,25.0,7.0,32.0
N067,34 ST-PENN STA,06:45:38,191578080.0,67867163.0,3502.0,1337.0,4839.0
N068,34 ST-PENN STA,06:47:02,21621840.0,15905414.0,1.0,0.0,1.0
N068,34 ST-PENN STA,06:48:23,21621841.0,15905414.0,116.0,318.0,434.0
R138,34 ST-PENN STA,06:54:10,1884293911.0,1200080828.0,394.0,27.0,421.0
R138,34 ST-PENN STA,06:59:10,1884342875.0,1200110145.0,2575.0,217.0,2792.0
R139,34 ST-PENN STA,07:00:00,111858945.83333333,23595195.033333335,1955.8666666666666,502.6666666666667,2458.5333333333333
R137,34 ST-PENN STA,07:00:00,11747783.266666668,10720767.533333333,400.23333333333335,2122.0,2522.233333333333
N069,34 ST-PENN STA,07:00:00,18965291.0,12871466.4,962.3,2586.1666666666665,3548.4666666666667
R135,34 ST-PENN STA,07:00:00,38259188.6,59559005.2,9068.766666666666,1223.4,10292.166666666666
R141,34 ST-PENN STA,07:00:00,42332877.46666667,17880301.066666666,910.9333333333333,2228.1666666666665,3139.1
N073,34 ST-PENN STA,07:00:00,20435050.1,58421549.46666667,3333.9333333333334,2233.0666666666666,5567.0
N072,34 ST-PENN STA,07:00:00,484195196.6333333,490485867.8,12172.3,1471.7333333333333,13644.033333333333
N068,34 ST-PENN STA,07:00:00,21521198.4,13702097.2,808.2,2331.4333333333334,3139.633333333333
N071,34 ST-PENN STA,07:00:00,19742287.3,30339154.266666666,772.8,2822.3,3595.1
N067,34 ST-PENN STA,07:00:00,701834653.6666666,235705203.6,9145.533333333333,4335.7,13481.233333333334
N070,34 ST-PENN STA,07:00:00,243235279.93333334,23555143.733333334,1032.0,2309.133333333333,3341.133333333333
R138,34 ST-PENN STA,07:00:30,1884294305.0,1200080855.0,105.0,25.0,130.0
R138,34 ST-PENN STA,07:02:55,1884294410.0,1200080880.0,999.0,61.0,1060.0
N067,34 ST-PENN STA,07:08:01,39931615.0,67151634.0,136.0,59.0,195.0
N067,34 ST-PENN STA,07:12:29,39931751.0,67151693.0,2131.0,802.0,2933.0
R138,34 ST-PENN STA,07:12:51,1884295409.0,1200080941.0,951.0,105.0,1056.0
R139,34 ST-PENN STA,07:14:54,151123955.0,18031416.0,44.0,6.0,50.0
R139,34 ST-PENN STA,07:23:01,151123999.0,18031422.0,235.0,47.0,282.0
R138,34 ST-PENN STA,07:23:28,1884296360.0,1200081046.0,1638.0,120.0,1758.0
N068,34 ST-PENN STA,07:25:37,17320347.0,7525204.0,67.0,166.0,233.0
R141,34 ST-PENN STA,07:26:05,50451883.0,21482437.0,55.0,123.0,178.0
R138,34 ST-PENN STA,07:27:49,1884345450.0,1200110362.0,2553.0,213.0,2766.0
R138,34 ST-PENN STA,07:30:45,1884204577.0,1200022208.0,165.0,24.0,189.0
R138,34 ST-PENN STA,07:32:26,1884204742.0,1200022232.0,14139.0,1643.0,15782.0
